movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
51865,Полиция будущего: Восстание,7.24,108,261.0,1993,7.6,2621.0,"[аниме, мультфильм, фантастика, триллер, драма, детектив, военный]",[Япония],,,Kidô keisatsu patorebâ: The Movie 2
518686,BBC: Живой мир (сериал 1983 – ...),8.464,-,146.0,1983,8.6,214.0,[документальный],[Великобритания],,,The Natural World
5187,Временная секретарша,5.988,99,103.0,1993,5.1,2352.0,"[триллер, драма]",[США],$15 000 000,30.0,The Temp
518706,Преследование (сериал 2010 – 2011),6.743,43,259.0,2010,7.0,2732.0,"[боевик, триллер, драма, криминал]",[США],,,Chase
518714,Смертельная схватка (мини-сериал),6.206,44,534.0,2010,,,[военный],"[Россия, Беларусь]",,,
518719,Un-шлак! Un-шлак! (сериал 2000 – 2001),6.573,30,151.0,2000,8.1,329.0,"[мультфильм, фэнтези, комедия]",[США],,,TV Funhouse
518728,Ангельские ритмы! (сериал),7.897,25,3870.0,2010,8.1,3086.0,"[аниме, мультфильм, фантастика, боевик, комедия, приключения]",[Япония],,,Angel Beats!
518744,Обвиняемая,5.856,90,315.0,2009,5.4,780.0,"[триллер, драма, криминал, детектив]",[США],,,Accused at 17
51878,Возможно,6.451,109,287.0,1998,5.8,1336.0,"[фантастика, драма, комедия]",[Франция],FRF 75 000 000,,Peut-être
5188,Заряженное оружие 1,7.307,84,6806.0,1993,6.1,36363.0,"[боевик, триллер, комедия, криминал]",[США],$8 200 000,13.0,Loaded Weapon 1
51897,Город пиратов,7.196,111,176.0,1983,7.2,387.0,"[ужасы, фэнтези, драма]","[Франция, Португалия]",,,La ville des pirates
519,Человек дождя,8.269,133,152815.0,1988,8.0,373340.0,[драма],[США],$25 000 000,90.0,Rain Man
5190,Прибавьте громкость,7.716,102,1937.0,1990,7.1,20254.0,"[драма, комедия, музыка]","[Канада, США]",,78.0,Pump Up the Volume
519097,Брук. Вызов,6.118,86,213.0,2010,5.6,523.0,"[приключения, история]",[Испания],,,Bruc. La llegenda
51917,Племяннички,6.93,73,106.0,2001,5.2,374.0,"[семейный, комедия]",[Дания],,,Min søsters børn
5192,Зубастики 2: Основное блюдо,6.197,86,4226.0,1988,5.3,9685.0,"[ужасы, фантастика, триллер, комедия]",[США],$4 500 000,33.0,Critters 2
519300,Дневник слабака 2: Правила Родрика,6.94,99,2117.0,2011,6.6,16906.0,"[комедия, семейный]",[США],$21 000 000,48.0,Diary of a Wimpy Kid: Rodrick Rules
51938,Мы должны помогать друг другу,7.727,117,178.0,2000,7.8,4123.0,"[драма, комедия, военный]",[Чехия],,90.0,Musíme si pomáhat
5194,Бегущий человек,7.176,101,30667.0,1987,6.6,106740.0,"[фантастика, боевик, триллер, криминал]",[США],$27 000 000,61.0,The Running Man
51946,Лабиринты,7.372,100,2638.0,2003,6.8,879.0,"[триллер, драма, криминал, детектив]","[Франция, Бельгия]",,,Dédales
5195,Скрытые,7.081,97,1809.0,1987,7.0,12240.0,"[ужасы, фантастика, боевик, триллер, криминал]",[США],,77.0,The Hidden
5196,Все меры предосторожности,6.35,100,251.0,1987,6.6,4313.0,"[боевик, триллер, драма, криминал, вестерн]",[США],$22 000 000,71.0,Extreme Prejudice
5197,Миллионы Брюстера,7.379,102,3950.0,1985,6.4,27063.0,[комедия],[США],$20 000 000,38.0,Brewster's Millions
